date,nation,visitor,growth,share,age0-20,age21-30,age31-40,age41-50,age51-60,age61,error_count,male,female,crewman,tourism,business,official_affairs,studying,others
2019-01-01,China,392814,0.28737869805032007,0.3555511706611948,36520,108591,103657,48574,40893,40998,13581,147511,231722,13581,320113,2993,138,8793,60777
2019-01-01,Japan,206526,0.23606830138314483,0.18693468428308038,18015,57921,34165,39811,33857,20330,2427,75070,129029,2427,198805,2233,127,785,4576
2019-01-01,Taiwan,87954,0.16003692957003438,0.07961057310669865,18888,17927,18595,18862,8169,4566,947,30805,56202,947,86393,74,22,180,1285
2019-01-01,Hong Kong,35896,0.0353321219462952,0.03249086036153052,3890,11384,7400,5461,4629,2137,995,12172,22729,995,34653,59,2,90,1092
2019-01-01,Macao,2570,-0.12376406409819296,0.002326206572574477,223,1013,762,264,181,92,35,748,1787,35,2506,2,0,17,45
2019-01-01,Phillipines,30473,0.0006238917711958171,0.027582292951775108,1436,5051,5486,3140,1831,811,12718,10460,7295,12718,14279,211,161,184,15638
2019-01-01,Indonesia,18842,0.10614065985675714,0.01705462421807327,2732,4213,3643,2895,1488,613,3258,7295,8289,3258,14183,136,38,187,4298
2019-01-01,Thailand,41334,-0.08026078636434442,0.03741300485244881,3310,10977,10551,5821,3403,1873,5399,12205,23730,5399,34004,37,199,96,6998
2019-01-01,Vietnam,20183,0.23936137549892547,0.01826841527403528,1824,5484,4200,1963,1095,450,5167,7457,7559,5167,10739,763,110,1667,6904
2019-01-01,India,8671,0.16844091092844635,0.007848458050892331,258,1421,2310,1322,522,197,2641,5123,907,2641,2318,2656,46,177,3474
2019-01-01,Malaysia,22065,-0.002170668837335521,0.019971886390605386,2923,6643,4546,2689,1946,769,2549,8240,11276,2549,19043,95,7,99,2821
2019-01-01,Singapore,9855,0.019764072847682224,0.008920142324016138,670,2276,2044,1771,1342,522,1230,4175,4450,1230,8372,94,8,48,1333
2019-01-01,Mongolia,9785,-0.09339386639488556,0.00885678261192267,1551,1807,2840,2105,970,465,47,4624,5114,47,8358,77,304,484,562
2019-01-01,Uzbekistan,5754,0.059473393481863424,0.00520816833408309,233,1614,1896,949,394,203,465,3863,1426,465,1958,561,0,407,2828
2019-01-01,Myanmar,5289,-0.11673346693386775,0.004787278818033622,27,1070,994,324,108,17,2749,2290,250,2749,1304,10,31,67,3877
2019-01-01,*GCC,1776,-0.016066481994459814,0.0016075264096857083,247,477,521,289,140,70,32,1132,612,32,1550,37,14,72,103
2019-01-01,Kazakhstan,3574,-0.09335362760020294,0.00323496587174365,343,928,857,479,402,260,305,1521,1748,305,2185,24,7,92,1266
2019-01-01,Turkey,1785,-0.07704239917269906,0.0016156726583834403,57,239,300,206,89,24,870,681,234,870,792,13,32,36,912
2019-01-01,Cambodia,2695,0.10859728506787336,0.002439348915598528,124,1392,685,109,58,28,299,1666,730,299,635,39,55,51,1915
2019-01-01,Sri Lanka,1287,-0.142,0.0011649135637756233,13,373,550,151,31,8,161,1036,90,161,157,54,5,28,1043
2019-01-01,Bangladesh,1247,0.012997562956945652,0.0011287080140079272,26,342,403,123,48,12,293,897,57,293,149,126,27,97,848
2019-01-01,Pakistan,1032,-0.10726643598615915,0.0009341031840065605,62,328,378,147,67,17,33,857,142,33,238,178,10,193,413
2019-01-01,Israel,805,-0.004944375772558685,0.0007286366890748849,19,80,170,223,120,178,15,591,199,15,727,12,0,9,57
2019-01-01,Iran,184,-0.667870036101083,0.00016654552893140224,9,30,73,39,12,6,15,122,47,15,60,45,10,23,46
2019-01-01,Asia others,4554,0.16679477325134506,0.0041220018410522054,247,1605,1349,500,209,108,536,2990,1028,536,1561,308,70,205,2410
2019-01-01,USA,62737,0.04744970364805079,0.05678568939439883,5601,10672,10618,10137,11530,8972,5207,32907,24623,5207,42989,418,2578,229,16523
2019-01-01,Canada,12460,0.003462994282032783,0.011278028752637347,959,2190,2299,1847,2184,1722,1259,5783,5418,1259,8034,57,30,43,4296
2019-01-01,Brazil,1605,0.14072494669509597,0.0014527476844288076,215,389,357,213,92,53,286,727,592,286,1136,16,9,41,403
2019-01-01,Mexico,1853,0.3207412687099074,0.0016772220929885235,153,388,353,239,174,88,458,784,611,458,1282,11,7,38,515
2019-01-01,America others,2266,0.10861056751467713,0.0020510443943399866,195,666,491,248,159,110,397,933,936,397,1541,24,33,128,540
2019-01-01,Russia,25194,0.14862770128567518,0.02280406552118341,2569,4480,5325,3866,2520,1299,5135,10572,9487,5135,17260,181,37,191,7525
2019-01-01,UK,10148,0.07968932865198419,0.009185347976064512,923,1669,1801,1682,1695,1623,755,5903,3490,755,7982,175,17,41,1933
2019-01-01,Germany,6850,-0.06522925764192145,0.006200200397717964,357,1074,1414,1217,1377,502,909,4487,1454,909,4925,278,19,177,1451
2019-01-01,France,5574,-0.053810897979969415,0.005045243360128457,437,1316,1151,1135,704,238,593,3390,1591,593,3773,297,48,288,1168
2019-01-01,Italy,2731,-0.010865628395508864,0.002471933910389454,79,369,581,651,417,155,479,1750,502,479,1968,83,17,40,623
2019-01-01,Netherland,2269,-0.025762129669385958,0.0020537598105725636,108,472,319,398,394,133,445,1335,489,445,1592,47,16,77,537
2019-01-01,Ukraine,2262,0.38858195211786367,0.002047423839363217,36,275,243,132,118,34,1424,594,244,1424,593,58,3,28,1580
2019-01-01,Spain,1368,-0.16176470588235292,0.001238229802055208,61,312,348,281,154,58,154,841,373,154,1010,36,15,52,255
2019-01-01,Romania,872,0.1912568306010929,0.0007892809849357757,57,92,128,89,65,13,428,315,129,428,412,8,4,3,445
2019-01-01,Norway,801,-0.19335347432024172,0.0007250161340981152,41,168,139,139,144,57,113,511,177,113,552,66,4,28,151
2019-01-01,Sweden,982,0.0424628450106157,0.0008888462467969402,69,217,187,206,196,69,38,664,280,38,844,29,6,18,85
2019-01-01,Poland,1324,-0.11968085106382975,0.0011984036973107424,35,214,284,168,61,39,523,559,242,523,713,10,0,27,574
2019-01-01,Swiss,747,-0.293282876064333,0.0006761386419117254,41,166,120,128,164,81,47,493,207,47,613,18,0,19,97
2019-01-01,Portugal,564,-0.047297297297297265,0.0005104982517245155,27,142,119,88,73,18,97,256,211,97,416,14,0,13,121
2019-01-01,Austria,776,-0.023899371069182385,0.0007023876654933052,33,151,144,129,114,78,127,480,169,127,544,8,2,13,209
2019-01-01,Finland,859,-0.13841524573721162,0.0007775141812612746,20,127,116,100,82,24,390,314,155,390,412,23,1,18,405
2019-01-01,Belgium,709,-0.060927152317880824,0.0006417433696324143,28,134,142,133,129,39,104,460,145,104,490,24,4,22,169
2019-01-01,Croatia,491,-0.0040567951318458695,0.00044442312339847015,6,57,74,58,46,12,238,224,29,238,226,12,0,3,250
