country,bus_regi,bus_ease,cost_startup,time_startup,foreign_invest,income,life_exp,pop_density
Afghanistan,0.212,173.0,0.0,8.5,0.00617,1760.0,64.1,58.3
Albania,1.52,82.0,0.0,4.5,0.0797,12700.0,78.5,105.0
Algeria,0.353,157.0,0.0,18.0,0.00867,14000.0,78.1,18.1
Antigua and Barbuda,3.31,113.0,0.0,19.0,0.0839,24500.0,77.3,221.0
Argentina,0.19899999999999998,126.0,0.0,11.5,0.0228,17500.0,77.0,16.4
Armenia,3.05,47.0,0.0,4.0,0.0204,9730.0,75.9,104.0
Australia,14.5,14.0,0.0,2.0,0.0421,45500.0,82.7,3.28
Austria,0.649,27.0,11.5,21.0,0.00927,46900.0,82.0,109.0
Azerbaijan,1.66,34.0,0.0,3.5,0.0299,16200.0,71.1,122.0
Bahrain,3.11,43.0,2.9,8.3,0.00295,42000.0,79.8,2160.0
Bangladesh,0.0413,168.0,0.0,19.5,0.0107,4140.0,73.7,1250.0
Belarus,1.34,49.0,0.0,8.5,0.0239,18000.0,74.5,46.6
Belgium,3.37,46.0,0.0,5.0,-0.11599999999999999,43500.0,81.7,381.0
Belize,3.39,135.0,0.0,48.2,0.0639,7820.0,74.4,17.1
Benin,0.536,149.0,5.0,8.5,0.02,2230.0,65.3,105.0
Bhutan,0.0913,89.0,0.0,12.0,0.00108,9710.0,74.7,20.0
Bolivia,0.513,150.0,0.0,39.5,0.00633,7150.0,73.3,10.6
Bosnia and Herzegovina,1.09,90.0,10.2,80.0,0.0242,13100.0,77.0,64.7
Botswana,,87.0,0.0,48.0,0.0123,16800.0,69.8,4.06
Brazil,1.29,124.0,0.0,16.6,0.0418,14300.0,75.9,25.3
Brunei,2.36,66.0,0.0,5.5,0.0377,72400.0,75.6,82.2
Bulgaria,10.1,61.0,0.0,23.0,0.0188,20200.0,75.1,64.5
Burkina Faso,0.32899999999999996,151.0,6.3,13.0,0.034,1810.0,62.5,74.3
Cambodia,0.6709999999999999,144.0,70.2,99.0,0.131,4080.0,70.4,93.4
Canada,0.16399999999999998,23.0,0.0,1.5,0.0272,44200.0,82.2,4.11
Cape Verde,3.99,137.0,0.0,9.0,0.0546,6910.0,76.2,136.0
Central African Republic,0.0863,184.0,35.2,22.0,0.00811,794.0,52.9,7.62
Chad,0.113,182.0,25.3,58.0,0.0587,1740.0,60.6,12.7
Chile,10.3,59.0,0.0,4.0,0.0204,23000.0,80.0,25.5
Colombia,2.02,67.0,0.0,10.0,0.0348,13600.0,80.5,45.4
Comoros,0.163,160.0,17.2,16.0,0.0058200000000000005,2480.0,69.1,457.0
"Congo, Dem. Rep.",0.0492,183.0,4.6,7.0,0.0272,838.0,63.0,38.3
Costa Rica,2.6,74.0,0.0,23.0,0.046,15800.0,79.8,98.9
Cote d'Ivoire,0.7390000000000001,110.0,2.7,6.0,0.0212,3910.0,63.3,80.9
Croatia,5.86,51.0,5.5,19.5,0.0211,24500.0,78.8,73.8
Cyprus,17.6,54.0,0.0,6.0,0.209,34500.0,82.0,130.0
Czech Republic,4.39,41.0,0.0,24.5,0.0346,34100.0,79.5,138.0
Denmark,10.0,4.0,10.2,3.5,0.00328,48300.0,81.0,136.0
Dominica,7.74,111.0,0.0,12.0,0.0241,10400.0,,95.7
Dominican Republic,1.48,115.0,0.1,16.5,0.0321,16400.0,73.5,222.0
El Salvador,0.5660000000000001,91.0,2.6,16.5,0.0164,7510.0,74.5,311.0
Estonia,23.6,18.0,13.1,3.5,0.0384,32000.0,78.5,31.3
Ethiopia,0.513,159.0,0.0,32.0,0.0398,1900.0,69.1,112.0
Finland,4.29,20.0,5.9,13.0,-0.0176,42400.0,81.8,18.2
France,4.84,32.0,0.0,4.0,0.0216,40000.0,83.1,119.0
Gabon,0.878,169.0,2.4,10.0,0.0502,16200.0,69.0,8.43
Georgia,10.4,7.0,0.0,1.0,0.0692,10700.0,73.2,57.5
Germany,1.35,22.0,29.8,8.0,0.0267,46200.0,80.9,240.0
Ghana,,118.0,1.0,13.0,0.0456,4430.0,66.1,134.0
Greece,1.42,79.0,0.0,4.0,0.0185,25700.0,81.3,81.3
Grenada,2.52,146.0,0.0,12.0,0.13,14300.0,74.1,329.0
Guatemala,0.528,96.0,0.6,15.0,0.0134,7610.0,73.1,164.0
Guinea,0.39799999999999996,156.0,5.3,15.0,0.0323,2420.0,61.6,52.0
Haiti,,179.0,11.0,97.0,0.0109,1640.0,65.7,409.0
Hungary,3.74,52.0,36.2,7.0,-0.415,29600.0,77.2,107.0
Iceland,9.88,26.0,7.4,11.5,-0.0168,47900.0,83.0,3.38
India,0.13699999999999998,63.0,0.0,17.5,0.0155,7230.0,69.5,460.0
Indonesia,,73.0,0.0,12.6,0.0189,12100.0,71.9,149.0
Iran,0.418,127.0,0.0,72.5,,16100.0,77.8,50.9
Iraq,,172.0,14.6,26.5,-0.0218,15700.0,77.1,90.5
Ireland,7.13,24.0,0.0,11.0,0.16899999999999998,72400.0,82.3,70.9
Israel,3.27,35.0,0.0,11.0,0.0561,34100.0,83.3,394.0
