title,year,rating,adj_score,critics_consensus,synopsis,director
Running Scared,1986,60%,61.158%,"Running Scared struggles to strike a consistent balance between violent action and humor, but the chemistry between its well-matched leads keeps things entertaining.","Distinguished by a sharp, witty dialogue between its two cop protagonists, Ray and Danny (Gregory Hines and Billy Crystal), this... [More]",Peter Hyams
Equilibrium,2002,40%,41.991%,Equilibrium is a reheated mishmash of other sci-fi movies.,"In the nation of Libria, there is always peace among men. The rules of the Librian system are simple. If... [More]",Kurt Wimmer
Hero,2004,95%,100.828%,"With death-defying action sequences and epic historic sweep, Hero offers everything a martial arts fan could ask for.",Hero is two-time Academy Award nominee Zhang Yimou's directorial attempt at exploring the concept of a Chinese hero. During the... [More],Zhang Yimou
Road House,1989,39%,41.991%,Whether Road House is simply bad or so bad it's good depends largely on the audience's fondness for Swayze -- and tolerance for violently cheesy action.,Dalton (Swayze) is a true gentleman with a degree in philosophy from NYU. He also has a flip side -... [More],Rowdy Herrington
Unstoppable,2010,86%,91.513%,"As fast, loud, and relentless as the train at the center of the story, Unstoppable is perfect popcorn entertainment -- and director Tony Scott's best movie in years.","In this action thriller from director Tony Scott, rookie train operator Will (Chris Pine) and grizzled veteran engineer Frank (Denzel... [More]",Tony Scott
Shaft,1971,88%,92.116%,"This is the man that would risk his neck for his brother, man. Can you dig it?","Shaft, a highly successful film, spawned an industry of sequels and imitations. The daughter (Sherri Brewer) of Bumpy Jones (Moses... [More]",Gordon Parks
The Villainess (Ak-Nyeo),2017,85%,87.884%,The Villainess offers enough pure kinetic thrills to satisfy genre enthusiasts -- and carve out a bloody niche for itself in modern Korean action cinema.,"Since she was a little girl, Sook-hee was raised to be a deadly assassin. She gladly accepts the chance to... [More]",Jung Byung-gil
Highlander,1986,69%,71.884%,"People hate Highlander because it's cheesy, bombastic, and absurd. And people love it for the same reasons.","Among humans for centuries, an immortal specie existed. Connor MacLeod is a member of this specie. Unaware of his powers,... [More]",Russell Mulcahy
Die Hard 2,1990,68%,72.291%,"It lacks the fresh thrills of its predecessor, but Die Hard 2 still works as an over-the-top -- and reasonably taut -- big-budget sequel, with plenty of set pieces to paper over the plot deficiencies.","""Another basement, another elevator...how can the same thing happen to the same guy twice?"" asks John McClane (Bruce Willis), in... [More]",Renny Harlin
National Treasure,2004,46%,50.876%,"National Treasure is no treasure, but it's a fun ride for those who can forgive its highly improbable plot.","Benjamin Franklin Gates is a third generation treasure hunter. All his life, Gates has been searching for a treasure no... [More]",Jon Turteltaub
The Protector (Tom yum goong) (Warrior King),2005,53%,55.455%,"Despite some impressive fight scenes, this trimmed-down version of the Thai action pic is an off-putting mix of scant plot, choppy editing, and confusing subtitles and dubbing.","Kham's life is turned upside down when an international mafia syndicate, based in Australia, captures his two beloved elephants and... [More]",Prachya Pinkaew
Revenge,2018,93%,98.102%,"Revenge slices and dices genre tropes, working within an exploitation framework while adding a timely -- yet never less than viscerally thrilling -- feminist spin.","Jen (fearlessly embodied by Matilda Lutz, Rings) is enjoying a romantic getaway with her wealthy boyfriend which is suddenly disrupted... [More]",Coralie Fargeat
El Mariachi,1993,93%,94.667%,"Made on a shoestring budget, El Mariachi's story is not new. However, the movie has so much energy that it's thoroughly enjoyable.","Filmed in two weeks on a budget of 7,000 dollars, El Mariachi was one of the singular pleasures of the... [More]",Robert Rodriguez
A Touch of Zen,1969,96%,98.475%,"A brilliantly directed feast for the eyes with an epic story to match, A Touch of Zen marks a groundbreaking achievement in the wuxia genre.","According to this drama, set in 14th-century China, a state-run secret police organization made life a living hell for anyone... [More]",King Hu
Top Gun,1986,54%,59.15%,"Though it features some of the most memorable and electrifying aereial footage shot with an expert eye for action, Top Gun offers too little for non-adolescent viewers to chew on when its characters aren't in the air.",Devil-may-care navy pilot Pete Mitchell (Tom Cruise) is sent to Miramar Naval Air Station for advanced training. Here he vies... [More],Tony Scott
Con Air,1997,55%,58.663%,"Con Air won't win any awards for believability - and all involved seem cheerfully aware of it, making some of this blockbuster action outing's biggest flaws fairly easy to forgive.",Former war hero Cameron Poe (Nicolas Cage) is sentenced to eight years in prison when he accidentally kills a man... [More],Simon West
The Expendables 2,2012,68%,72.319%,"Taut, violent, and suitably self-deprecating, The Expendables 2 gives classic action fans everything they can reasonably expect from a star-studded shoot-'em-up -- for better and for worse.","The Expendables are back and this time it's personal... Barney Ross (Sylvester Stallone), Lee Christmas (Jason Statham), Yin Yang (Jet... [More]",Simon West
The Mummy,1999,60%,64.041%,"It's difficult to make a persuasive argument for The Mummy as any kind of meaningful cinematic achievement, but it's undeniably fun to watch.","Loosely adapted from the classic 1932 horror film starring Boris Karloff, The Mummy is set in Egypt, where over 3,000... [More]",Stephen Sommers
Mr. & Mrs. Smith,2005,60%,67.178%,"Although this action-romance suffers from weak writing and one too many explosions, the chemistry generated by onscreen couple Pitt and Jolie is palpable enough to make this a thoroughly enjoyable summer action flick.","John and Jane Smith are an ordinary suburban couple with an ordinary, lifeless suburban marriage. But each of them has... [More]",Doug Liman
Rush Hour,1998,60%,63.703%,A kick-ass addition to the cop-buddy film genre.,Brett Ratner directed this action-comedy that found box-office success by teaming Chris Tucker with Jackie Chan -- performing his own... [More],Brett Ratner
The Equalizer,2014,60%,67.681%,"The Equalizer is more stylishly violent than meaningful, but with Antoine Fuqua behind the cameras and Denzel Washington dispensing justice, it delivers.","In The Equalizer, Denzel Washington plays McCall, a man who believes he has put his mysterious past behind him and... [More]",Antoine Fuqua
Captain America: Civil War,2016,91%,107.595%,Captain America: Civil War begins the next wave of Marvel movies with an action-packed superhero blockbuster boasting a decidedly non-cartoonish plot and the courage to explore thought-provoking themes.,"Marvel's ""Captain America: Civil War"" finds Steve Rogers leading the newly formed team of Avengers in their continued efforts to... [More]",Anthony Russo
Air Force One,1997,76%,78.946%,"This late-period Harrison Ford actioner is full of palpable, if not entirely seamless, thrills.","In this action drama, Harrison Ford plays James Marshall, a onetime combat hero in the Vietnam War who is now... [More]",Wolfgang Petersen
Bloodsport,1988,40%,41.211%,"This is where it all began for the Muscles from Brussels, but beyond Van Damme's athleticism, Bloodsport is a cliched, virtually plotless exercise in action movie recycling.","U.S. soldier Frank Dux (Jean-Claude Van Damme) has come to Hong Kong to be accepted into the Kumite, a highly... [More]",Newt Arnold
Blade,1998,55%,60.635%,"Though some may find the plot a bit lacking, Blade's action is fierce, plentiful, and appropriately stylish for a comic book adaptation.",British director Stephen Norrington helmed this David S. Goyer adaptation of the Marvel Comics character created in 1973 by scripter... [More],Stephen Norrington
Bad Boys,1995,43%,46.836%,"Bad Boys stars Will Smith and Martin Lawrence have enjoyable chemistry; unfortunately, director Michael Bay too often drowns it out with set pieces and explosions in place of an actual story.","Former video director Michael Bay had his first big hit with this action comedy, which also returned producers Jerry Bruckheimer... [More]",Michael Bay
Die Hard: With a Vengeance,1995,57%,61.297%,"Die Hard with a Vengeance benefits from Bruce Willis and Samuel L. Jackson's barbed interplay, but clatters to a bombastic finish in a vain effort to cover for an overall lack of fresh ideas.",Bruce Willis returns as misfit cop John McClane in the third film in the Die Hard series. McClane has fallen... [More],John McTiernan
The Running Man,1987,63%,65.881%,The Running Man is winking sci-fi satire with ridiculous clothes and workmanlike direction.,An unjustly accused prisoner in 2019 is given a slim chance at freedom if he enters a battle-to-the-death on a... [More],Paul Michael Glaser
Code of Silence,1985,63%,63.692%,No consensus yet.,"Not to be confused with the 1960 film of the same name, this fast-paced karate action flick stars Chuck Norris,... [More]",Andrew Davis
Shoot 'Em Up,2007,67%,72.141%,"As preposterous and over-the-top as Shoot 'Em Up may be, its humor and non-stop action make for a very enjoyable film.",A mysterious man delivers a baby during a shootout and is entrusted with protecting the child from criminals out to... [More],Michael Davis
Crank,2006,61%,63.659%,"Crank's assaultive style and gleeful depravity may turn off casual action fans, but audiences seeking a strong dose of adrenaline will be thrilled by Jason Statham's raucous race against mortality.",A one-time freelance hitman who was just attempting to turn his life around is forced to keep his heart pumping... [More],Mark Neveldine
Machete,2010,72%,77.479%,"Machete is messy, violent, shallow, and tasteless -- and that's precisely the point of one of the summer's most cartoonishly enjoyable films.",A blade-wielding ex-federale hides out as a day laborer when he is double-crossed by a corrupt senator. ... [More],Ethan Maniquis
Drive,2011,92%,100.241%,"With its hyper-stylized blend of violence, music, and striking imagery, Drive represents a fully realized vision of arthouse action.","Ryan Gosling stars as a Los Angeles wheelman for hire, stunt driving for movie productions by day and steering getaway... [More]",Nicolas Winding Refn
Batman,1989,71%,76.894%,"An eerie, haunting spectacle, Batman succeeds as dark entertainment, even if Jack Nicholson's Joker too often overshadows the title character.","Jack Nicholson is the Joker, who emerged from a horrible accident as a maniacal criminal. Michael Keaton is the Caped... [More]",Tim Burton
Under Siege,1992,79%,80.428%,"A well-directed action thriller that makes the most of its confined setting, Under Siege marks a high point for early '90s action -- and its star's spotty filmography.","Andrew Davis directed this exciting thriller starring Steven Seagal, sans ponytail, and featuring electric, over-the-top performances by Gary Busey and... [More]",Andrew Davis
Independence Day,1996,66%,70.008%,"The plot is thin and so is character development, but as a thrilling, spectacle-filled summer movie, Independence Day delivers.",A group of intrepid humans attempts to save the Earth from vicious extraterrestrials in this extremely popular science-fiction adventure. Borrowing... [More],Roland Emmerich
Bullitt,1968,97%,100.461%,Steve McQueen is cool as ice in this thrilling police procedural that also happens to contain arguably the greatest movie car chase ever.,Robert L. Pike's crime novel Mute Witness makes the transition to the big screen in this film from director Peter... [More],Peter Yates
Wanted,2008,71%,78.64%,"Wanted is stylish, energetic popcorn fare with witty performances from Angelina Jolie (playing an expert assassin), James McAvoy, and Morgan Freeman that help to distract from its absurdly over-the-top plot.","Wesley's (James McAvoy) life is over - his pathetic old one, anyway... Fortunately, it is all because of a girl.... [More]",Timur Bekmambetov
Superman,1978,94%,101.325%,"Superman deftly blends humor and gravitas, taking advantage of the perfectly cast Christopher Reeve to craft a loving, nostalgic tribute to an American pop culture icon.","Christopher Reeve as the Man of Steel in a big-budget epic with Oscar-winning effects. Marlon Brando, Margot Kidder, Gene Hackman,... [More]",Richard Donner
Ronin,1998,67%,70.252%,"Ronin earns comparisons to The French Connection with strong action, dynamic road chase scenes, and solid performances.","When an international team of former intelligence agents and Cold War warriors meet in a warehouse, their adventure of love,... [More]",John Frankenheimer
They Live,1988,86%,90.659%,"A politically subversive blend of horror and sci fi, They Live is an underrated genre film from John Carpenter.",A homeless drifter discovers a reason for the ever-widening gap between the rich and the poor: a conspiracy by non-human... [More],John Carpenter
Cliffhanger,1993,68%,71.874%,"While it can't escape comparisons to the movies it borrows from, Cliffhanger is a tense, action-packed thriller and a showcase for the talents that made Sylvester Stallone a star.","A Rocky Mountain rescue expert (Sylvester Stallone) has retired because of his role in a woman's death, but the kidnapping... [More]",Renny Harlin
Marvel's The Avengers,2012,92%,105.567%,"Thanks to a script that emphasizes its heroes' humanity and a wealth of superpowered set pieces, The Avengers lives up to its hype and raises the bar for Marvel at the movies.","Marvel Studios presents Marvel's The Avengers-the Super Hero team up of a lifetime, featuring iconic Marvel Super Heroes Iron Man,... [More]",
Hot Fuzz,2007,91%,97.781%,The brilliant minds behind Shaun of the Dead successfully take a shot at the buddy cop genre with Hot Fuzz. The result is a bitingly satiric and hugely entertaining parody.,A top London cop who is so good at his job that he makes his fellow officers look like slackers... [More],Edgar Wright
The Warriors,1979,89%,91.934%,"As violent as it is stylish, The Warriors is a thrilling piece of pulp filmmaking.","Walter Hill's hip, super-stylized action film unfurls in a dystopian near-future, when various gangs control New York City. Each gang... [More]",Walter Hill
Starship Troopers,1997,64%,67.591%,A fun movie...if you can accept the excessive gore and wooden acting.,"Paul Verhoeven has fashioned a visually spectacular, morbidly funny comic book adventure that seems to merge the fresh-faced youths of... [More]",Paul Verhoeven
Elite Squad: The Enemy Within,2011,93%,93.575%,"Elite Squad: The Enemy Within is a bleak, violent descent into the Brazilian underbelly, ripping into the favelas with unstoppable and kinetic force.","The sprawling slum that towers over Rio de Janeiro is one of the most dangerous places on Earth, and as... [More]",José Padilha
Point Break,1991,69%,73.17%,"Absurd, over-the-top, and often wildly entertaining, Point Break is here to show you that the human spirit is still alive.",Kathryn Bigelow's fourth action film follows FBI agent Johnny Utah (Keanu Reeves) as he goes undercover to infiltrate a cache... [More],Kathryn Bigelow
The Long Kiss Goodnight,1996,69%,71.655%,"Smart, sharp-witted, and fueled by enjoyably over-the-top action, The Long Kiss Goodnight makes up in impact what it lacks in consistent aim.",The comfortably drab life of a working mom becomes a nightmare when she finds herself pursued by an assassin who... [More],Renny Harlin
The Guest,2014,91%,94.991%,"Boasting enough intelligence to bolster its darkly violent thrills, The Guest offers another treat for genre fans from director Adam Wingard.","From the director of YOU'RE NEXT and featuring a standout, badass performance from Dan Stevens (""Downton Abbey""), comes THE GUEST:... [More]",Adam Wingard
Taken,2009,58%,63.315%,"Taken is undeniably fun with slick action, but is largely a brainless exercise.",An ex-soldier (Liam Neeson) traveling through Europe embarks on a frantic quest to rescue his daughter (Maggie Grace) after the... [More],Pierre Morel
300,2007,61%,68.888%,"A simple-minded but visually exciting experience, full of blood, violence, and ready-made movie quotes.",Sin City author Frank Miller's sweeping take on the historic Battle of Thermopylae comes to the screen courtesy of Dawn... [More],Zack Snyder
True Lies,1994,71%,73.9%,"If it doesn't reach the heights of director James Cameron's and star Arnold Schwarzenegger's previous collaborations, True Lies still packs enough action and humor into its sometimes absurd plot to entertain.","Borrowing liberally from the French film La Totale, this is an action picture, domestic comedy, and political thriller rolled into... [More]",James Cameron
Demolition Man,1993,60%,62.863%,"A better-than-average sci-fi shoot-em-up with a satirical undercurrent, Demolition Man is bolstered by strong performances by Sylvester Stallone, Wesley Snipes, and Sandra Bullock.","The plot of this action film begins in 1996, with Los Angeles in a violence-crazed conflagration. One of the LAPD's... [More]",Marco Brambilla
Hardcore Henry,2016,51%,56.135%,"Hardcore Henry seems poised to reinvent the action flick, but without a story or characters worth caring about, its first-person gimmick quickly loses its thrill.",Strap in. Hardcore Henry is one of the most unflinchingly original wild-rides to hit the big screen in a long... [More],Ilya Naishuller
Police Story (Ging chaat goo si) (Police Force),1985,93%,94.404%,"Blending brilliant physical comedy with thrillingly choreographed set pieces, Police Story makes a persuasive case for Jackie Chan as one of the all-time genre greats.","This was internationally famous Jackie Chan's breakthrough action film, the work that got him past the ethnic boundaries of Hong... [More]",Jackie Chan
Brotherhood of the Wolf,2001,73%,76.655%,"Brotherhood of the Wolf mixes its genres with little logic, but the end result is wildly entertaining.","French legend has it that a creature known as the Beast of Gevaudan -- a huge, wolf-like monster -- was... [More]",Christophe Gans
Kingsman: The Secret Service,2015,75%,84.748%,"Stylish, subversive, and above all fun, Kingsman: The Secret Service finds director Matthew Vaughn sending up the spy genre with gleeful abandon.","Based upon the acclaimed comic book and directed by Matthew Vaughn (Kick Ass, X-Men First Class), Kingsman: The Secret Service... [More]",Matthew Vaughn
The Fifth Element,1997,70%,73.735%,"Visually inventive and gleefully over the top, Luc Besson's The Fifth Element is a fantastic piece of pop sci-fi that never takes itself too seriously.",Good and evil battle for the future of 23rd century Earth in this visually striking big-budget science fiction epic. In... [More],Luc Besson
Big Trouble in Little China,1986,77%,80.747%,"Brimming with energy and packed with humor, Big Trouble in Little China distills kung fu B-movies as affectionately as it subverts them.","Playing in a manner that can be conservatively described as larger than life, Kurt Russell plays a macho truck driver... [More]",John Carpenter
Atomic Blonde,2017,78%,93.131%,Atomic Blonde gets enough mileage out of its stylish action sequences -- and ever-magnetic star -- to make up for a narrative that's somewhat less hard-hitting than its protagonist.,"A high-stakes, global action-thriller that takes place in the city of Berlin, on the eve of the Wall's collapse and... [More]",David Leitch
Rumble in the Bronx,1995,80%,83.222%,An entertaining Jackie Chan stunt-fest in which the impressive action sequences overcome the low production value and by-the-numbers plot.,"After years as a major star in most of the rest of the world, Jackie Chan finally broke through to... [More]",Stanley Tong
District B13 (Banlieue 13),2006,80%,83.477%,"A nonstop thrill ride, District B13's dizzying action sequences more than make up for any expository flaws.","A nuclear weapon has been stolen by the most powerful gang in Paris' treacherous, walled-in ghetto, and it's up to... [More]",Pierre Morel
Beverly Hills Cop,1984,82%,85.68%,"The buddy cop movie continues its evolution unabated with this Eddie Murphy vehicle that's fast, furious, and funny.",What's that wisecracking young black guy (Eddie Murphy) in that beat-up Chevy Nova doing in lily-white Beverly Hills? He's Axel... [More],Martin Brest
Ong-Bak (Ong Bak: Muay Thai Warrior),2005,85%,88.146%,"While Ong-Bak: The Thai Warrior may be no great shakes as a movie, critics are hailing the emergence of a new star in Tony Jaa, whose athletic performance is drawing comparisons with Bruce Lee, Jackie Chan, and Jet Li.",Exhilarating fight sequences highlight this action-packed martial-arts adventure about an orphan (Tony Jaa) who embarks on a quest to recover... [More],Prachya Pinkaew
